ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
12.13,166.5,Golden Tate ,WR,NYG,6,12.0,152,187,11
12.14,168.4,Larry Fitzgerald ,WR,ARI,8,1.6,165,170,8
13.01,168.6,New Orleans Defense,DEF,NO,5,8.7,154,176,6
13.02,170.0,   James Robinson ,RB,JAX,5,24.1,136,194,7
13.02,170.4,Greg Zuerlein ,PK,DAL,13,9.6,145,180,10
13.03,170.7,Chris   Herndon  IV,TE,NYJ,7,23.9,125,190,11
13.04,171.6,Parris Campbell ,WR,IND,9,10.9,153,188,7
13.11,178.8,Wil Lutz ,PK,NO,6,4.7,170,182,6
13.12,179.5,LeSean McCoy ,RB,TB,4,16.0,158,196,13
13.12,180.0,Chase Claypool ,WR,PIT,4,2.0,177,181,8
13.12,180.3,O.J. Howard ,TE,TB,7,20.5,158,207,13
13.13,181.1,   Blake Jarwin ,TE,DAL,22,21.6,124,197,10
14.02,183.6,Denver Defense,DEF,DEN,5,10.3,169,195,8
14.02,184.4,Joshua Kelley ,RB,LAC,14,16.7,141,205,10
14.04,185.9,Nyheim Hines ,RB,IND,8,20.5,156,208,7
14.05,186.9,Malcolm Brown ,RB,LAR,7,15.4,165,205,9
14.05,187.2,Jamaal Williams ,RB,GB,9,12.9,164,204,5
14.08,190.2,Eric Ebron ,TE,PIT,5,14.1,175,205,8
14.10,191.6,Jimmy Garoppolo ,QB,SF,8,14.6,168,205,11
14.11,192.5,Teddy Bridgewater ,QB,CAR,10,10.4,167,201,13
14.11,193.0,Tennessee Defense,DEF,TEN,6,13.4,175,208,7
14.11,193.3,LA Rams Defense,DEF,LAR,6,9.2,183,209,9
14.12,193.8,Indianapolis Defense,DEF,IND,6,9.3,178,205,7
15.01,196.8,Hunter Renfrow ,WR,LV,5,14.2,177,212,6
15.02,197.6,Philadelphia Defense,DEF,PHI,5,13.4,176,209,9
15.07,203.2,  Dallas  Defense,DEF,DAL,4,2.9,199,205,10
15.08,204.0,Mason Crosby,PK,GB,4,5.6,196,209,5
