,Overall,Name,Position,Team_x,Times Drafted,Std. Dev,High,Low,Bye,match_name,age,all_td,fumbles,fumbles_lost,g,gs,pass_att,pass_cmp,pass_int,pass_td,pass_yds,player,pos,rec,rec_td,rec_yds,rec_yds_per_rec,rush_att,rush_td,rush_yds,rush_yds_per_att,targets,two_pt_md,two_pt_pass,Team Def,Player_x,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,Team_y,Player_y,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA
46,46.0,Julian Edelman ,WR,NE,116,4.8,33,59,6,julianedelman,32.0,6.0,1.0,0.0,12.0,12.0,2.0,2.0,0.0,0.0,43.0,Julian Edelman,WR,74.0,6.0,850.0,11.49,9.0,0.0,107.0,11.89,108.0,,,,,,,,,,,,,,,,,,,,,,,,
47,47.1,Phillip Lindsay ,RB,DEN,113,5.6,32,63,8,philliplindsay,24.0,10.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,Phillip Lindsay,RB,35.0,1.0,241.0,6.89,192.0,9.0,1037.0,5.4,47.0,,,,,,,,,,,,,,,,,,,,,,,,
48,48.7,Tevin Coleman ,RB,SF,106,5.4,36,67,11,tevincoleman,25.0,9.0,2.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,Tevin Coleman,RB,32.0,5.0,276.0,8.63,167.0,4.0,800.0,4.79,44.0,,,,,,,,,,,,,,,,,,,,,,,,
49,49.1,   Cooper Kupp ,WR,LAR,76,4.4,37,58,9,cooperkupp,25.0,6.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,Cooper Kupp,WR,40.0,6.0,566.0,14.15,4.0,0.0,25.0,6.25,55.0,,,,,,,,,,,,,,,,,,,,,,,,
50,49.5,Miles Sanders ,RB,PHI,80,5.5,37,60,9,milessanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,50.4,Josh Gordon ,WR,SEA,97,4.6,38,62,6,joshgordon,27.0,4.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,Josh Gordon,WR,41.0,4.0,737.0,17.98,0.0,0.0,0.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,,
52,52.0,T.Y. Hilton ,WR,IND,125,4.2,43,66,7,tyhilton,29.0,6.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,T.Y. Hilton,WR,76.0,6.0,1270.0,16.71,0.0,0.0,0.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,
53,52.2,Aaron Rodgers ,QB,GB,86,5.0,39,61,5,aaronrodgers,35.0,2.0,6.0,3.0,16.0,16.0,597.0,372.0,2.0,25.0,4442.0,Aaron Rodgers ,QB,0.0,0.0,0.0,,43.0,2.0,269.0,6.26,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
54,53.0,Kenny Golladay ,WR,DET,137,5.4,41,68,5,kennygolladay,25.0,5.0,1.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,Kenny Golladay,WR,70.0,5.0,1063.0,15.19,1.0,0.0,8.0,8.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,
55,54.1,O.J. Howard ,TE,TB,62,5.9,38,65,13,ojhoward,24.0,5.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,O.J. Howard ,TE,34.0,5.0,565.0,16.62,0.0,0.0,0.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,,
56,54.9,Mike Williams ,WR,LAC,96,4.3,43,65,10,mikewilliams,24.0,11.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,Mike Williams ,WR,43.0,10.0,664.0,15.44,7.0,1.0,28.0,4.0,66.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
57,55.7,   Austin Ekeler ,RB,LAC,169,7.3,36,71,10,austinekeler,23.0,6.0,1.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,Austin Ekeler,RB,39.0,3.0,404.0,10.36,106.0,3.0,554.0,5.23,53.0,,,,,,,,,,,,,,,,,,,,,,,,
58,57.1,Duke Johnson ,RB,HOU,126,5.5,42,73,8,dukejohnson,25.0,3.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,Duke Johnson,RB,47.0,3.0,429.0,9.13,40.0,0.0,201.0,5.03,62.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
59,58.5,   Baker Mayfield ,QB,CLE,75,9.5,33,71,9,bakermayfield,23.0,0.0,7.0,3.0,14.0,13.0,486.0,310.0,14.0,27.0,3725.0,Baker Mayfield,QB,0.0,0.0,0.0,,39.0,0.0,131.0,3.36,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
60,59.1,Calvin Ridley ,WR,ATL,108,4.8,48,69,10,calvinridley,24.0,10.0,2.0,1.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,Calvin Ridley,WR,64.0,10.0,821.0,12.83,6.0,0.0,27.0,4.5,92.0,,,,,,,,,,,,,,,,,,,,,,,,
61,60.0,Evan Engram ,TE,NYG,72,7.8,39,71,11,evanengram,24.0,3.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,Evan Engram ,TE,45.0,3.0,577.0,12.82,3.0,0.0,36.0,12.0,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
62,61.4,A.J. Green ,WR,CIN,79,6.0,45,77,9,ajgreen,30.0,6.0,2.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,A.J. Green,WR,46.0,6.0,694.0,15.09,0.0,0.0,0.0,,77.0,,,,,,,,,,,,,,,,,,,,,,,,
63,62.2,Tyler Boyd ,WR,CIN,100,6.0,46,84,9,tylerboyd,24.0,7.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,Tyler Boyd,WR,76.0,7.0,1028.0,13.53,2.0,0.0,3.0,1.5,108.0,,,,,,,,,,,,,,,,,,,,,,,,
64,62.4,Matt Ryan ,QB,ATL,55,5.6,49,77,10,mattryan,33.0,4.0,10.0,5.0,16.0,16.0,608.0,422.0,7.0,35.0,4924.0,Matt Ryan,QB,1.0,1.0,5.0,5.0,33.0,3.0,125.0,3.79,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
65,63.3,Derrius Guice ,RB,WAS,143,5.6,48,80,8,derriusguice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,63.9,Hunter Henry ,TE,LAC,74,5.7,48,73,10,hunterhenry,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hunter Henry ,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
67,66.6,   James White ,RB,NE,95,8.5,44,82,6,jameswhite,26.0,12.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,James White ,RB,87.0,7.0,751.0,8.63,94.0,5.0,425.0,4.52,123.0,,,,,,,,,,,,,,,,,,,,,,,,
68,67.1,Dede Westbrook ,WR,JAX,132,5.5,52,83,7,dedewestbrook,25.0,6.0,3.0,2.0,16.0,9.0,1.0,0.0,0.0,0.0,0.0,Dede Westbrook,WR,66.0,5.0,717.0,10.86,9.0,0.0,98.0,10.89,101.0,,,,,,,,,,,,,,,,,,,,,,,,
69,69.3,Drew Brees ,QB,NO,55,13.9,33,83,6,drewbrees,39.0,4.0,5.0,1.0,15.0,15.0,489.0,364.0,5.0,32.0,3992.0,Drew Brees,QB,1.0,0.0,1.0,1.0,31.0,4.0,22.0,0.71,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
70,69.6,D.J. Moore ,WR,CAR,95,5.8,54,82,13,djmoore,21.0,2.0,4.0,3.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,D.J. Moore,WR,55.0,2.0,788.0,14.33,13.0,0.0,172.0,13.23,82.0,,,,,,,,,,,,,,,,,,,,,,,,
71,69.9,   Carson Wentz ,QB,PHI,71,6.7,52,88,9,carsonwentz,26.0,0.0,9.0,6.0,11.0,11.0,401.0,279.0,7.0,21.0,3074.0,Carson Wentz ,QB,1.0,0.0,4.0,4.0,34.0,0.0,93.0,2.74,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
72,70.6,Latavius Murray ,RB,NO,116,6.7,53,87,6,lataviusmurray,28.0,6.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,Latavius Murray,RB,22.0,0.0,141.0,6.41,140.0,6.0,578.0,4.13,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
73,70.9,Alshon Jeffery ,WR,PHI,99,6.9,52,88,9,alshonjeffery,28.0,6.0,1.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,Alshon Jeffery,WR,65.0,6.0,843.0,12.97,0.0,0.0,0.0,,92.0,,,,,,,,,,,,,,,,,,,,,,,,
74,72.9,Jared Cook ,TE,NO,53,4.5,64,83,6,jaredcook,31.0,6.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,Jared Cook,TE,68.0,6.0,896.0,13.18,0.0,0.0,0.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,,
75,73.6,Robby Anderson ,WR,NYJ,69,6.1,57,88,11,robbyanderson,25.0,6.0,2.0,2.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,Robby Anderson,WR,50.0,6.0,752.0,15.04,2.0,0.0,-8.0,-4.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,
76,75.2,   Allen Robinson ,WR,CHI,92,6.2,63,92,11,allenrobinson,25.0,4.0,1.0,1.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,Allen Robinson,WR,55.0,4.0,754.0,13.71,1.0,0.0,9.0,9.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,
77,76.3,Jarvis Landry ,WR,CLE,91,7.4,56,92,9,jarvislandry,26.0,5.0,1.0,1.0,16.0,14.0,2.0,1.0,0.0,0.0,63.0,Jarvis Landry,WR,81.0,4.0,976.0,12.05,3.0,1.0,60.0,20.0,149.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
78,77.8,Vance McDonald ,TE,PIT,56,6.4,62,98,8,vancemcdonald,28.0,4.0,2.0,1.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,Vance McDonald,TE,50.0,4.0,610.0,12.2,0.0,0.0,0.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,,
79,78.0,Tony Pollard ,RB,DAL,60,7.8,60,93,10,tonypollard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,78.5,Kenyan Drake ,RB,ARI,102,6.8,61,93,8,kenyandrake,24.0,9.0,2.0,1.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,Kenyan Drake,RB,53.0,5.0,477.0,9.0,120.0,4.0,535.0,4.46,73.0,,,,,,,,,,,,,,,,,,,,,,,,
81,79.5,Darwin Thompson ,RB,KC,29,7.2,68,94,10,darwinthompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,80.3,Jared Goff ,QB,LAR,81,5.9,65,95,9,jaredgoff,24.0,3.0,12.0,5.0,16.0,16.0,561.0,364.0,12.0,32.0,4688.0,Jared Goff,QB,0.0,0.0,0.0,,43.0,2.0,108.0,2.51,0.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
83,80.4,Will Fuller ,WR,HOU,101,6.6,63,103,8,willfuller,24.0,4.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,Will Fuller,WR,32.0,4.0,503.0,15.72,0.0,0.0,0.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,
84,82.3,Matt Breida ,RB,SF,154,7.0,64,99,11,mattbreida,23.0,5.0,1.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,Matt Breida,RB,27.0,2.0,261.0,9.67,153.0,3.0,814.0,5.32,31.0,,,,,,,,,,,,,,,,,,,,,,,,
85,83.8,David Njoku ,TE,CLE,37,7.9,69,101,9,davidnjoku,22.0,4.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,David Njoku ,TE,56.0,4.0,639.0,11.41,0.0,0.0,0.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,,
86,84.1,Tarik Cohen ,RB,CHI,89,9.9,58,101,11,tarikcohen,23.0,8.0,7.0,3.0,16.0,7.0,1.0,1.0,0.0,1.0,1.0,Tarik Cohen,RB,71.0,5.0,725.0,10.21,99.0,3.0,444.0,4.48,91.0,,,,,,,,,,,,,,,,,,,,,,,,
87,86.0,Emmanuel Sanders ,WR,SF,118,7.1,67,99,11,emmanuelsanders,31.0,5.0,1.0,0.0,12.0,12.0,1.0,1.0,0.0,1.0,28.0,Emmanuel Sanders ,WR,71.0,4.0,868.0,12.23,4.0,1.0,53.0,13.25,98.0,,,,,,,,,,,,,,,,,,,,,,,,
